file_name,invoice_id,invoice_number,invoice_date,due_date,vendor_name,vendor_address,buyer_name,buyer_address,buyer_email,buyer_phone,buyer_website,totals_subtotal,totals_discount,totals_taxes,totals_total_amount,bank_name,bank_address,bank_city,bank_state,bank_zip,bank_country,notes,terms,line_item_id,description,quantity,unit_price,amount,bank_branch_name,bank_account_number,bank_swift_code,vendor_email,vendor_gstin,vendor_website
1.json,,4Y1M7d-017,1999-10-05,2022-03-29,"Rogers, Olson and Sanders","116 Smith Loop Apt. 882 East David, AL 5672 US",,,,,,436.97,0.0,0.0,436.97,,,,,,,All payments to be made in cash. Contact us for queries on these quotations.,"{'payment_due_date': '29-Mar-2022', 'payment_method': 'Cash', 'payment_location': ""Vendor's address""}",,Heavy school available,1.0,45.84,137.52,,,,,,
1.json,,4Y1M7d-017,1999-10-05,2022-03-29,"Rogers, Olson and Sanders","116 Smith Loop Apt. 882 East David, AL 5672 US",,,,,,436.97,0.0,0.0,436.97,,,,,,,All payments to be made in cash. Contact us for queries on these quotations.,"{'payment_due_date': '29-Mar-2022', 'payment_method': 'Cash', 'payment_location': ""Vendor's address""}",,Statement for,1.0,43.85,43.85,,,,,,
1.json,,4Y1M7d-017,1999-10-05,2022-03-29,"Rogers, Olson and Sanders","116 Smith Loop Apt. 882 East David, AL 5672 US",,,,,,436.97,0.0,0.0,436.97,,,,,,,All payments to be made in cash. Contact us for queries on these quotations.,"{'payment_due_date': '29-Mar-2022', 'payment_method': 'Cash', 'payment_location': ""Vendor's address""}",,Run sign war follow,1.0,33.18,132.72,,,,,,
1.json,,4Y1M7d-017,1999-10-05,2022-03-29,"Rogers, Olson and Sanders","116 Smith Loop Apt. 882 East David, AL 5672 US",,,,,,436.97,0.0,0.0,436.97,,,,,,,All payments to be made in cash. Contact us for queries on these quotations.,"{'payment_due_date': '29-Mar-2022', 'payment_method': 'Cash', 'payment_location': ""Vendor's address""}",,When region seek,1.0,26.29,105.16,,,,,,
11.json,,4Y5M8d-964,1998-04-03,,,"047 Jackson Meadows Apt. 391, Pearsonmouth, OH 83042 US",Brian Barber,"6768 Hernandez Haven, Lake Yolanda, AR 92373 US",tatemegan@example.org,+1(902)908-9736,https://www.moody.com/,288.22,,,291.78,,,,,,,Thank you for choosing us!,Total in words: two hundred and ninety-one point seven eight,,Forget join again.,6.0,33.02,198.12,,,,,,
11.json,,4Y5M8d-964,1998-04-03,,,"047 Jackson Meadows Apt. 391, Pearsonmouth, OH 83042 US",Brian Barber,"6768 Hernandez Haven, Lake Yolanda, AR 92373 US",tatemegan@example.org,+1(902)908-9736,https://www.moody.com/,288.22,,,291.78,,,,,,,Thank you for choosing us!,Total in words: two hundred and ninety-one point seven eight,,Industry carry.,1.0,90.1,90.1,,,,,,
12.json,,6y8Mod-837,2019-10-23,2018-03-30,Adaress:496 Buck Rest Suite 598,"Jenningsburgh, UT 95460 US.",Hannah Prico,"Valerietand, 10 21578 US.",martinjennifer@example.com,+(177)387-6060,http:iduncan-boone.info!,,,,,,,,,,,,4. Please send payment within 8 days of receiving this invoice. 2. Please include the Invoice number in your payment notes.,,Beautiful break unit,2.0,57.28,114.56,,,,,,
12.json,,6y8Mod-837,2019-10-23,2018-03-30,Adaress:496 Buck Rest Suite 598,"Jenningsburgh, UT 95460 US.",Hannah Prico,"Valerietand, 10 21578 US.",martinjennifer@example.com,+(177)387-6060,http:iduncan-boone.info!,,,,,,,,,,,,4. Please send payment within 8 days of receiving this invoice. 2. Please include the Invoice number in your payment notes.,,That class,4.0,6.45,25.8,,,,,,
13.json,,INV/18-92/169,1996-02-27,,"Navarro, Ford and Bryan",,Holly Waters,"465 Sanchez Manor Apt. 434, Johnton, FL 44217 US",shunter@example.net,+1(976)71-4187,https://moreno.info/,963.47,,,963.47,,,,,,,This order is shipped through blue dart courier,Total in words: nine hundred and sixty-three point four seven,,National personal.,4.0,93.93,375.72,,,,,,
13.json,,INV/18-92/169,1996-02-27,,"Navarro, Ford and Bryan",,Holly Waters,"465 Sanchez Manor Apt. 434, Johnton, FL 44217 US",shunter@example.net,+1(976)71-4187,https://moreno.info/,963.47,,,963.47,,,,,,,This order is shipped through blue dart courier,Total in words: nine hundred and sixty-three point four seven,,Them month no.,5.0,58.23,291.15,,,,,,
